StudentID,Faculty,StudyHours,Attendance,Midterm,Final
S001,Science,1.3,72,61,68
S002,Education,2.1,82,70,72
S003,Engineering,7.6,56,61,65
S004,Business,8.7,55,68,68
S005,Business,5.4,64,75,76
S006,Arts,12.0,93,95,100
S007,Business,8.0,,83,77
S008,Arts,8.5,100,83,84
S009,Arts,13.8,69,91,87
S010,Engineering,5.8,68,69,68
S011,Science,8.9,65,72,72
S012,Education,3.9,75,71,63
S013,Engineering,11.7,75,86,93
S014,Arts,3.8,86,59,
S015,Business,2.9,63,65,63
S016,Education,6.2,69,79,80
S017,Business,2.2,58,57,66
S018,Education,1.8,79,64,68
S019,Arts,13.6,55,83,94
S020,Arts,2.5,82,59,62
S021,Arts,13.6,66,86,83
S022,Education,,64,68,74
S023,Education,12.9,93,95,100
S024,Arts,4.1,70,68,55
S025,Science,10.5,59,84,93
S026,Education,3.1,88,76,72
S027,Engineering,13.1,99,100,100
S028,Business,12.7,83,93,96
S029,Arts,1.3,90,67,73
S030,Engineering,1.9,57,60,60
S031,Engineering,4.6,86,105,81
S032,Business,4.2,85,68,67
S033,Science,9.6,77,79,79
S034,Science,1.8,76,54,54
S035,Engineering,3.5,83,71,62
S036,Science,6.8,90,85,87
S037,Education,11.9,60,88,97
S038,Engineering,12.2,58,88,91
S039,Business,4.4,84,74,70
S040,Business,3.0,73,55,59
S041,Education,1.8,75,69,60
S042,Engineering,1.7,87,66,68
S043,Education,1.9,70,55,47
S044,Science,9.1,81,76,76
S045,Arts,13.2,8,83,89
S046,Arts,6.9,59,78,76
S047,Education,13.9,59,81,88
S048,Science,12.4,78,92,100
S049,Education,10.1,94,96,92
S050,Education,4.9,97,80,83
S051,Arts,2.5,61,56,61
S052,Arts,3.6,95,77,73
S053,Arts,12.8,58,91,92
S054,Engineering,9.3,71,82,87
S055,Business,8.3,62,87,91
S056,Arts,8.6,64,71,75
S057,Arts,12.7,57,85,90
S058,Education,12.5,81,99,94
S059,Engineering,12.2,66,85,89
S060,Business,11.4,70,79,92
S004,Business,8.7,55,68,68
